[1.0, -0.0, -0.06, -0.68, 0.02, -2.0, 1.0, -2.0, -2.0, 1.0, -2.0, -1.0, 5, 3, 2, 1, 3, 4, 4, 4, 4, 3, 2, 0]
((1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1), (1, 0, 0, 0)):-0.11
((1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1), (-1, -1, 1, 1)):-0.11
((1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1), (0, 0, 1, -1)):-0.11
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 1, -1)):0.04
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (1, 1, -1, -1)):0.0
((1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1), (1, 1, -1, -1)):-0.11
((1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1), (-1, -1, 0, 0)):0.15
((1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1), (-1, 0, 0, -1)):-0.11
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, 0, 0, -1)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, 1, -1, -1)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 1, 0, 0)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (0, -1, 1, 1)):-1.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, -1, -1, -1)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, -1, -1, 0)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, -1, -1, 1)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, -1, 0, -1)):0.0
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, -1, 0, 0)):-0.15
((1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1), (-1, -1, 0, 1)):0.0
